"Nompro","Fechfa","Cantid","Pcosto"
SKOPAR,2010-02-04 00:00:00.000,30.0,2.7
SKOPAR,2010-02-04 00:00:00.000,30.0,2.32
SKOPAR,2010-02-04 00:00:00.000,120.0,1.63
SKOPAR,2010-02-04 00:00:00.000,100.0,0.66
SKOPAR,2010-02-04 00:00:00.000,500.0,0.15
SKOPAR,2010-02-04 00:00:00.000,60.0,9.03
SKOPAR,2010-02-04 00:00:00.000,200.0,13.22
SKOPAR,2010-02-04 00:00:00.000,50.0,1.85
SKOPAR,2010-02-04 00:00:00.000,20.0,6.95
SKOPAR,2010-02-04 00:00:00.000,50.0,3.64
SKOPAR,2010-02-04 00:00:00.000,40.0,3.23
SKOPAR,2010-02-04 00:00:00.000,400.0,0.46
SKOPAR,2010-02-04 00:00:00.000,104.0,12.17
SKOPAR,2010-02-04 00:00:00.000,54.0,9.49
SKOPAR,2010-02-04 00:00:00.000,40.0,0.85
SKOPAR,2010-02-04 00:00:00.000,20.0,0.62
SKOPAR,2010-02-04 00:00:00.000,20.0,9.41
SKOPAR,2010-02-04 00:00:00.000,20.0,2.22
SKOPAR,2010-02-04 00:00:00.000,20.0,2.22
SKOPAR,2010-02-04 00:00:00.000,10.0,7.33
SKOPAR,2010-02-04 00:00:00.000,20.0,31.34
SKOPAR,2010-02-04 00:00:00.000,20.0,29.941
SKOPAR,2010-02-04 00:00:00.000,30.0,0.36
SKOPAR,2010-02-04 00:00:00.000,40.0,1.45
SKOPAR,2010-02-04 00:00:00.000,10.0,1.85
SKOPAR,2010-02-04 00:00:00.000,150.0,7.05
SKOPAR,2010-02-04 00:00:00.000,60.0,2.97
SKOPAR,2010-02-04 00:00:00.000,100.0,8.19
SKOPAR,2010-02-04 00:00:00.000,100.0,0.86
SKOPAR,2010-02-04 00:00:00.000,10.0,2.13
SKOPAR,2010-02-04 00:00:00.000,20.0,16.91
SKOPAR,2010-02-04 00:00:00.000,200.0,0.88
SKOPAR,2010-02-04 00:00:00.000,12.0,20.31
SKOPAR,2010-02-04 00:00:00.000,150.0,2.7
SKOPAR,2010-02-04 00:00:00.000,400.0,1.93
SKOPAR,2010-02-04 00:00:00.000,150.0,2.82
SKOPAR,2010-02-04 00:00:00.000,30.0,0.75
SKOPAR,2010-02-04 00:00:00.000,30.0,7.11
SKOPAR,2010-02-04 00:00:00.000,20.0,11.44
SKOPAR,2010-02-04 00:00:00.000,50.0,10.14
SKOPAR,2010-02-04 00:00:00.000,20.0,48.97
SKOPAR,2010-02-04 00:00:00.000,50.0,14.94
SKOPAR,2010-02-04 00:00:00.000,120.0,14.03
SKOPAR,2010-02-04 00:00:00.000,54.0,19.14
SKOPAR,2010-02-04 00:00:00.000,150.0,20.15
SKOPAR,2010-02-04 00:00:00.000,100.0,0.96
SKOPAR,2010-02-04 00:00:00.000,10.0,11.26
SKOPAR,2010-02-04 00:00:00.000,30.0,3.0
SKOPAR,2010-02-04 00:00:00.000,20.0,3.02
SKOPAR,2010-02-04 00:00:00.000,10.0,1.75
SKOPAR,2010-02-04 00:00:00.000,20.0,20.92
SKOPAR,2010-02-04 00:00:00.000,50.0,0.39
SKOPAR,2010-02-04 00:00:00.000,50.0,0.93
SKOPAR,2010-02-04 00:00:00.000,30.0,16.71
SKOPAR,2010-02-04 00:00:00.000,120.0,16.21
SKOPAR,2010-02-04 00:00:00.000,204.0,17.63
SKOPAR,2010-02-04 00:00:00.000,100.0,1.26
SKOPAR,2010-02-04 00:00:00.000,50.0,16.91
SKOPAR,2010-02-04 00:00:00.000,50.0,2.32
SKOPAR,2010-02-04 00:00:00.000,15.0,0.55
SKOPAR,2010-02-04 00:00:00.000,10.0,11.77
SKOPAR,2010-02-04 00:00:00.000,10.0,11.77
SKOPAR,2010-02-04 00:00:00.000,30.0,1.81
SKOPAR,2010-02-04 00:00:00.000,10.0,51.56
SKOPAR,2010-02-04 00:00:00.000,164.0,3.59
SKOPAR,2010-02-04 00:00:00.000,210.0,2.7
SKOPAR,2010-02-04 00:00:00.000,25.0,0.34
SKOPAR,2010-02-04 00:00:00.000,95.0,3.6
SKOPAR,2010-02-04 00:00:00.000,100.0,2.32
SKOPAR,2010-02-04 00:00:00.000,80.0,1.52
SKOPAR,2010-02-04 00:00:00.000,20.0,3.23
SKOPAR,2010-02-04 00:00:00.000,96.0,0.75
SKOPAR,2010-02-04 00:00:00.000,90.0,0.32
SKOPAR,2010-02-04 00:00:00.000,40.0,8.55
SKOPAR,2010-02-04 00:00:00.000,20.0,12.51
SKOPAR,2010-02-04 00:00:00.000,100.0,14.21
SKOPAR,2010-02-04 00:00:00.000,100.0,0.46
SKOPAR,2010-02-05 00:00:00.000,10.0,10.34
SKOPAR,2010-02-05 00:00:00.000,50.0,1.63
SKOPAR,2010-02-05 00:00:00.000,20.0,4.97
SKOPAR,2010-02-05 00:00:00.000,102.0,18.5
SKOPAR,2010-02-05 00:00:00.000,102.0,20.39
SKOPAR,2010-02-05 00:00:00.000,38.0,11.03
SKOPAR,2010-02-05 00:00:00.000,10.0,31.77
SKOPAR,2010-02-05 00:00:00.000,10.0,31.77
SKOPAR,2010-02-05 00:00:00.000,19.0,42.53
SKOPAR,2010-02-05 00:00:00.000,20.0,39.19
SKOPAR,2010-02-05 00:00:00.000,20.0,39.19
SKOPAR,2010-02-05 00:00:00.000,10.0,9.37
SKOPAR,2010-02-05 00:00:00.000,10.0,9.37
SKOPAR,2010-02-05 00:00:00.000,10.0,10.1
SKOPAR,2010-02-05 00:00:00.000,20.0,13.99
SKOPAR,2010-02-05 00:00:00.000,20.0,1.85
SKOPAR,2010-02-05 00:00:00.000,5.0,2.8
SKOPAR,2010-02-05 00:00:00.000,10.0,18.49
SKOPAR,2010-02-05 00:00:00.000,60.0,0.39
SKOPAR,2010-02-05 00:00:00.000,20.0,2.47
SKOPAR,2010-02-05 00:00:00.000,100.0,1.5
SKOPAR,2010-02-05 00:00:00.000,40.0,14.96
SKOPAR,2010-02-05 00:00:00.000,45.0,13.02
SKOPAR,2010-02-05 00:00:00.000,50.0,2.63
SKOPAR,2010-02-05 00:00:00.000,50.0,2.36
SKOPAR,2010-02-05 00:00:00.000,8.0,11.06
SKOPAR,2010-02-05 00:00:00.000,400.0,0.75
SKOPAR,2010-02-05 00:00:00.000,15.0,12.65
SKOPAR,2010-02-05 00:00:00.000,36.0,4.64
SKOPAR,2010-02-05 00:00:00.000,100.0,10.96
SKOPAR,2010-02-05 00:00:00.000,50.0,5.84
SKOPAR,2010-02-05 00:00:00.000,20.0,3.31
SKOPAR,2010-02-05 00:00:00.000,75.0,6.1
SKOPAR,2010-02-05 00:00:00.000,20.0,3.74
SKOPAR,2010-02-05 00:00:00.000,360.0,0.84
SKOPAR,2010-02-05 00:00:00.000,10.0,3.75
SKOPAR,2010-02-05 00:00:00.000,70.0,12.95
SKOPAR,2010-02-05 00:00:00.000,360.0,1.64
SKOPAR,2010-02-05 00:00:00.000,3.0,15.99
SKOPAR,2010-02-05 00:00:00.000,20.0,15.51
SKOPAR,2010-02-05 00:00:00.000,36.0,5.04
SKOPAR,2010-02-05 00:00:00.000,10.0,43.2
SKOPAR,2010-02-05 00:00:00.000,20.0,2.08
SKOPAR,2010-02-05 00:00:00.000,20.0,8.92
SKOPAR,2010-02-05 00:00:00.000,14.0,13.77
SKOPAR,2010-02-05 00:00:00.000,30.0,2.48
SKOPAR,2010-02-05 00:00:00.000,10.0,1.23
SKOPAR,2010-02-05 00:00:00.000,30.0,2.46
SKOPAR,2010-02-05 00:00:00.000,30.0,9.45
SKOPAR,2010-02-05 00:00:00.000,100.0,1.1
SKOPAR,2010-02-05 00:00:00.000,3.0,15.99
SKOPAR,2010-02-05 00:00:00.000,300.0,0.39
SKOPAR,2010-02-05 00:00:00.000,40.0,1.77
SKOPAR,2010-02-05 00:00:00.000,10.0,1.8
SKOPAR,2010-02-05 00:00:00.000,20.0,6.46
SKOPAR,2010-02-05 00:00:00.000,40.0,13.26
SKOPAR,2010-02-05 00:00:00.000,50.0,8.45
SKOPAR,2010-02-05 00:00:00.000,40.0,6.15
SKOPAR,2010-02-05 00:00:00.000,2.0,20.42
SKOPAR,2010-02-05 00:00:00.000,5.0,14.03
SKOPAR,2010-02-05 00:00:00.000,150.0,0.52
SKOPAR,2010-02-05 00:00:00.000,99.0,0.63
SKOPAR,2010-02-05 00:00:00.000,100.0,2.5
SKOPAR,2010-02-05 00:00:00.000,30.0,8.26
SKOPAR,2010-02-05 00:00:00.000,25.0,7.36
SKOPAR,2010-02-05 00:00:00.000,50.0,7.51
SKOPAR,2010-02-05 00:00:00.000,30.0,2.09
SKOPAR,2010-02-05 00:00:00.000,30.0,0.92
SKOPAR,2010-02-05 00:00:00.000,5.0,22.93
SKOPAR,2010-02-05 00:00:00.000,83.0,28.91
SKOPAR,2010-02-05 00:00:00.000,10.0,0.98
SKOPAR,2010-02-05 00:00:00.000,10.0,0.98
SKOPAR,2010-02-05 00:00:00.000,20.0,1.82
SKOPAR,2010-02-05 00:00:00.000,20.0,0.61
SKOPAR,2010-02-05 00:00:00.000,11.0,23.56
SKOPAR,2010-02-05 00:00:00.000,30.0,26.16
SKOPAR,2010-02-05 00:00:00.000,5.0,29.23
SKOPAR,2010-02-05 00:00:00.000,5.0,29.23
SKOPAR,2010-02-05 00:00:00.000,5.0,37.62
SKOPAR,2010-02-05 00:00:00.000,5.0,37.62
SKOPAR,2010-02-05 00:00:00.000,24.0,3.95
SKOPAR,2010-02-05 00:00:00.000,100.0,3.57
SKOPAR,2010-02-05 00:00:00.000,320.0,2.46
SKOPAR,2010-02-05 00:00:00.000,10.0,51.54
SKOPAR,2010-02-05 00:00:00.000,30.0,4.92
SKOPAR,2010-02-05 00:00:00.000,15.0,21.91
SKOPAR,2010-02-05 00:00:00.000,80.0,1.48
SKOPAR,2010-02-05 00:00:00.000,30.0,45.83
SKOPAR,2010-02-05 00:00:00.000,5.0,23.39
SKOPAR,2010-02-05 00:00:00.000,5.0,23.39
SKOPAR,2010-02-05 00:00:00.000,100.0,0.61
SKOPAR,2010-02-05 00:00:00.000,100.0,0.63
SKOPAR,2010-02-05 00:00:00.000,20.0,15.17
SKOPAR,2010-02-05 00:00:00.000,100.0,1.48
SKOPAR,2010-02-05 00:00:00.000,30.0,0.61
SKOPAR,2010-02-05 00:00:00.000,20.0,11.79
SKOPAR,2010-02-05 00:00:00.000,70.0,1.08
SKOPAR,2010-02-05 00:00:00.000,10.0,1.51
SKOPAR,2010-02-05 00:00:00.000,40.0,0.61
SKOPAR,2010-02-05 00:00:00.000,190.0,0.61
SKOPAR,2010-02-05 00:00:00.000,20.0,12.28
SKOPAR,2010-02-05 00:00:00.000,50.0,3.37
SKOPAR,2010-02-05 00:00:00.000,10.0,5.78
SKOPAR,2010-02-05 00:00:00.000,30.0,3.75
SKOPAR,2010-02-05 00:00:00.000,10.0,42.6
SKOPAR,2010-02-05 00:00:00.000,20.0,4.44
SKOPAR,2010-02-05 00:00:00.000,10.0,0.84
SKOPAR,2010-02-05 00:00:00.000,36.0,7.81
SKOPAR,2010-02-05 00:00:00.000,100.0,1.03
SKOPAR,2010-02-05 00:00:00.000,15.0,4.31
SKOPAR,2010-02-05 00:00:00.000,20.0,0.4
SKOPAR,2010-02-05 00:00:00.000,5.0,4.68
SKOPAR,2010-02-05 00:00:00.000,4.0,3.34
SKOPAR,2010-02-05 00:00:00.000,5.0,35.99
SKOPAR,2010-02-05 00:00:00.000,5.0,34.83
SKOPAR,2010-02-05 00:00:00.000,10.0,3.89
SKOPAR,2010-02-05 00:00:00.000,100.0,1.95
SKOPAR,2010-02-05 00:00:00.000,5.0,22.1
SKOPAR,2010-02-05 00:00:00.000,20.0,1.48
SKOPAR,2010-02-05 00:00:00.000,30.0,4.39
SKOPAR,2010-02-05 00:00:00.000,200.0,3.54
SKOPAR,2010-02-05 00:00:00.000,5.0,10.34
SKOPAR,2010-02-05 00:00:00.000,3.0,62.59
SKOPAR,2010-02-05 00:00:00.000,3.0,62.59
SKOPAR,2010-02-05 00:00:00.000,100.0,3.79
SKOPAR,2010-02-05 00:00:00.000,40.0,1.48
SKOPAR,2010-02-05 00:00:00.000,28.0,6.49
SKOPAR,2010-02-05 00:00:00.000,6.0,24.14
SKOPAR,2010-02-05 00:00:00.000,10.0,3.39
SKOPAR,2010-02-05 00:00:00.000,90.0,0.55
SKOPAR,2010-02-05 00:00:00.000,90.0,0.55
SKOPAR,2010-02-05 00:00:00.000,30.0,2.02
SKOPAR,2010-02-05 00:00:00.000,20.0,3.08
SKOPAR,2010-02-05 00:00:00.000,30.0,2.02
SKOPAR,2010-02-05 00:00:00.000,20.0,3.08
SKOPAR,2010-02-05 00:00:00.000,30.0,6.44
SKOPAR,2010-02-05 00:00:00.000,30.0,6.44
SKOPAR,2010-02-05 00:00:00.000,30.0,1.19
SKOPAR,2010-02-05 00:00:00.000,30.0,3.1
SKOPAR,2010-02-05 00:00:00.000,20.0,19.27
SKOPAR,2010-02-05 00:00:00.000,20.0,19.27
SKOPAR,2010-02-05 00:00:00.000,20.0,3.09
SKOPAR,2010-02-05 00:00:00.000,20.0,3.09
SKOPAR,2010-02-05 00:00:00.000,5.0,39.19
SKOPAR,2010-02-05 00:00:00.000,5.0,39.19
SKOPAR,2010-02-05 00:00:00.000,20.0,1.3
SKOPAR,2010-02-05 00:00:00.000,20.0,18.54
SKOPAR,2010-02-05 00:00:00.000,20.0,18.54
SKOPAR,2010-02-05 00:00:00.000,40.0,4.2
SKOPAR,2010-02-05 00:00:00.000,30.0,4.2
SKOPAR,2010-02-05 00:00:00.000,400.0,0.49
SKOPAR,2010-02-05 00:00:00.000,20.0,56.85
"Porter, Industries",2010-02-22 00:00:00.000,300.0,9.5
"Porter, Industries",2010-02-22 00:00:00.000,200.0,7.5
RONELL,2010-02-26 00:00:00.000,20.0,0.83
RONELL,2010-02-26 00:00:00.000,93.0,3.25
RONELL,2010-02-26 00:00:00.000,30.0,77.5
RONELL,2010-02-26 00:00:00.000,48.0,33.9
RONELL,2010-02-26 00:00:00.000,10.0,18.79
RONELL,2010-02-26 00:00:00.000,100.0,1.15
RONELL,2010-02-26 00:00:00.000,50.0,16.7
RONELL,2010-02-26 00:00:00.000,40.0,1.79
RONELL,2010-02-26 00:00:00.000,40.0,16.1
RONELL,2010-02-26 00:00:00.000,10.0,16.71
RONELL,2010-02-26 00:00:00.000,10.0,16.71
RONELL,2010-02-26 00:00:00.000,2.0,31.3
RONELL,2010-02-26 00:00:00.000,50.0,6.17
RONELL,2010-02-26 00:00:00.000,60.0,2.7
RONELL,2010-02-26 00:00:00.000,5.0,106.5
RONELL,2010-02-26 00:00:00.000,30.0,10.05
RONELL,2010-02-26 00:00:00.000,200.0,1.23
RONELL,2010-02-26 00:00:00.000,20.0,11.69
RONELL,2010-02-26 00:00:00.000,50.0,4.35
RONELL,2010-02-26 00:00:00.000,100.0,0.6
RONELL,2010-02-26 00:00:00.000,10.0,28.65
RONELL,2010-02-26 00:00:00.000,100.0,5.25
RONELL,2010-02-26 00:00:00.000,30.0,16.4
RONELL,2010-02-26 00:00:00.000,120.0,7.25
RONELL,2010-02-26 00:00:00.000,113.0,1.39
RONELL,2010-02-26 00:00:00.000,50.0,15.8
RONELL,2010-02-26 00:00:00.000,100.0,1.83
RONELL,2010-02-26 00:00:00.000,100.0,0.92
RONELL,2010-02-26 00:00:00.000,50.0,9.13
RONELL,2010-02-26 00:00:00.000,100.0,1.55
RONELL,2010-02-26 00:00:00.000,100.0,1.62
RONELL,2010-02-26 00:00:00.000,40.0,15.09
RONELL,2010-02-26 00:00:00.000,100.0,6.79
RONELL,2010-02-26 00:00:00.000,200.0,2.32
RONELL,2010-02-26 00:00:00.000,150.0,1.15
RONELL,2010-02-26 00:00:00.000,30.0,7.65
RONELL,2010-02-26 00:00:00.000,100.0,0.8
RONELL,2010-02-26 00:00:00.000,100.0,2.62
RONELL,2010-02-26 00:00:00.000,30.0,4.1
RONELL,2010-02-26 00:00:00.000,30.0,5.49
RONELL,2010-02-26 00:00:00.000,300.0,0.6
RONELL,2010-02-26 00:00:00.000,50.0,18.75
RONELL,2010-02-26 00:00:00.000,200.0,1.2
RONELL,2010-02-26 00:00:00.000,120.0,2.47
RONELL,2010-02-26 00:00:00.000,200.0,0.49
RONELL,2010-02-26 00:00:00.000,30.0,5.45
RONELL,2010-02-26 00:00:00.000,200.0,0.48
RONELL,2010-02-26 00:00:00.000,50.0,15.75
RONELL,2010-02-26 00:00:00.000,100.0,0.36
RONELL,2010-02-26 00:00:00.000,40.0,8.96
RONELL,2010-02-26 00:00:00.000,500.0,4.88
RONELL,2010-02-26 00:00:00.000,200.0,0.31
RONELL,2010-02-26 00:00:00.000,50.0,5.15
RONELL,2010-02-26 00:00:00.000,150.0,2.09
RONELL,2010-02-26 00:00:00.000,50.0,6.07
RONELL,2010-02-26 00:00:00.000,100.0,0.48
RONELL,2010-02-26 00:00:00.000,100.0,0.33
RONELL,2010-02-26 00:00:00.000,50.0,4.95
RONELL,2010-02-26 00:00:00.000,300.0,3.78
RONELL,2010-02-26 00:00:00.000,30.0,9.48
RONELL,2010-02-26 00:00:00.000,30.0,9.48
RONELL,2010-02-26 00:00:00.000,200.0,3.71
RONELL,2010-02-26 00:00:00.000,500.0,0.3
RONELL,2010-02-26 00:00:00.000,500.0,0.34
RONELL,2010-02-26 00:00:00.000,300.0,3.61
RONELL,2010-02-26 00:00:00.000,300.0,0.23
RONELL,2010-02-26 00:00:00.000,200.0,0.3
RONELL,2010-02-26 00:00:00.000,200.0,0.28
RONELL,2010-02-26 00:00:00.000,100.0,0.32
RONELL,2010-02-26 00:00:00.000,200.0,0.31
RONELL,2010-02-26 00:00:00.000,200.0,0.82
RONELL,2010-02-26 00:00:00.000,100.0,1.05
RONELL,2010-02-26 00:00:00.000,200.0,1.03
RONELL,2010-02-26 00:00:00.000,100.0,3.83
RONELL,2010-02-26 00:00:00.000,300.0,0.15
RONELL,2010-02-26 00:00:00.000,200.0,0.28
RONELL,2010-02-26 00:00:00.000,50.0,11.38
RONELL,2010-02-26 00:00:00.000,100.0,0.69
RONELL,2010-02-26 00:00:00.000,30.0,1.45
RONELL,2010-02-26 00:00:00.000,300.0,0.4
RONELL,2010-02-26 00:00:00.000,30.0,2.16
RONELL,2010-02-26 00:00:00.000,5.0,92.3
RONELL,2010-02-26 00:00:00.000,200.0,7.92
RONELL,2010-02-26 00:00:00.000,30.0,25.3
RONELL,2010-02-26 00:00:00.000,50.0,23.19
RONELL,2010-02-26 00:00:00.000,250.0,19.75
RONELL,2010-02-26 00:00:00.000,30.0,42.5
RONELL,2010-02-26 00:00:00.000,200.0,3.06
RONELL,2010-02-26 00:00:00.000,50.0,5.75
RONELL,2010-02-26 00:00:00.000,50.0,5.75
RONELL,2010-02-26 00:00:00.000,100.0,4.97
RONELL,2010-02-26 00:00:00.000,5.0,84.99
RONELL,2010-02-26 00:00:00.000,164.0,0.91
RONELL,2010-02-26 00:00:00.000,40.0,1.63
RONELL,2010-02-26 00:00:00.000,40.0,23.43
RONELL,2010-02-26 00:00:00.000,200.0,1.21
RONELL,2010-02-26 00:00:00.000,500.0,0.53
RONELL,2010-02-26 00:00:00.000,50.0,6.75
RONELL,2010-02-26 00:00:00.000,200.0,6.6
RONELL,2010-02-26 00:00:00.000,50.0,6.75
RONELL,2010-02-26 00:00:00.000,20.0,24.3
RONELL,2010-02-26 00:00:00.000,32.0,3.75
RONELL,2010-02-26 00:00:00.000,100.0,1.25
RONELL,2010-02-26 00:00:00.000,20.0,0.48
RONELL,2010-02-26 00:00:00.000,48.0,2.4
RONELL,2010-02-26 00:00:00.000,50.0,11.37
RONELL,2010-02-26 00:00:00.000,97.0,1.35
RONELL,2010-02-26 00:00:00.000,40.0,20.0
RONELL,2010-02-26 00:00:00.000,24.0,8.5
RONELL,2010-02-26 00:00:00.000,20.0,6.75
RONELL,2010-02-26 00:00:00.000,200.0,0.79
RONELL,2010-02-26 00:00:00.000,200.0,1.2
RONELL,2010-02-26 00:00:00.000,20.0,5.9
RONELL,2010-02-26 00:00:00.000,200.0,3.29
RONELL,2010-02-26 00:00:00.000,100.0,28.6
RONELL,2010-02-26 00:00:00.000,10.0,21.82
RONELL,2010-02-26 00:00:00.000,50.0,4.75
RONELL,2010-02-26 00:00:00.000,10.0,1.13
RONELL,2010-02-26 00:00:00.000,40.0,2.19
RONELL,2010-02-26 00:00:00.000,160.0,0.57
RONELL,2010-02-26 00:00:00.000,100.0,9.81
RONELL,2010-02-26 00:00:00.000,161.0,6.85
RONELL,2010-02-26 00:00:00.000,10.0,21.8
RONELL,2010-02-26 00:00:00.000,40.0,2.14
RONELL,2010-02-26 00:00:00.000,30.0,4.61
RONELL,2010-02-26 00:00:00.000,35.0,6.25
RONELL,2010-02-26 00:00:00.000,200.0,33.43
RONELL,2010-02-26 00:00:00.000,200.0,33.43
RONELL,2010-02-26 00:00:00.000,200.0,21.95
RONELL,2010-02-26 00:00:00.000,40.0,28.0
RONELL,2010-02-26 00:00:00.000,150.0,5.0
RONELL,2010-02-26 00:00:00.000,100.0,20.45
RONELL,2010-02-26 00:00:00.000,40.0,47.26
RONELL,2010-02-26 00:00:00.000,40.0,47.26
RONELL,2010-02-26 00:00:00.000,60.0,4.29
RONELL,2010-02-26 00:00:00.000,10.0,10.3
RONELL,2010-02-26 00:00:00.000,200.0,2.2
RONELL,2010-02-26 00:00:00.000,60.0,4.95
RONELL,2010-02-26 00:00:00.000,100.0,2.68
RONELL,2010-02-26 00:00:00.000,20.0,11.12
RONELL,2010-02-26 00:00:00.000,10.0,63.0
RONELL,2010-02-26 00:00:00.000,22.0,0.75
RONELL,2010-02-26 00:00:00.000,100.0,4.75
RONELL,2010-02-26 00:00:00.000,300.0,1.64
RONELL,2010-02-26 00:00:00.000,200.0,4.38
RONELL,2010-02-26 00:00:00.000,400.0,0.49
RONELL,2010-02-26 00:00:00.000,200.0,4.05
RONELL,2010-02-26 00:00:00.000,20.0,16.35
RONELL,2010-02-26 00:00:00.000,100.0,1.11
RONELL,2010-02-26 00:00:00.000,40.0,2.22
RONELL,2010-02-26 00:00:00.000,40.0,2.19
RONELL,2010-02-26 00:00:00.000,40.0,4.86
RONELL,2010-02-26 00:00:00.000,50.0,8.68
RONELL,2010-02-26 00:00:00.000,150.0,2.94
RONELL,2010-02-26 00:00:00.000,60.0,3.95
RONELL,2010-02-26 00:00:00.000,100.0,4.91
RONELL,2010-02-26 00:00:00.000,20.0,22.65
RONELL,2010-02-26 00:00:00.000,20.0,12.35
CHINA AND CANTON,2010-03-10 00:00:00.000,700.0,12.2
CHINA AND CANTON,2010-03-10 00:00:00.000,100.0,5.84
CHINA AND CANTON,2010-03-10 00:00:00.000,200.0,5.6
CHINA AND CANTON,2010-03-10 00:00:00.000,300.0,5.35
CHINA AND CANTON,2010-03-10 00:00:00.000,200.0,5.48
CHINA AND CANTON,2010-03-10 00:00:00.000,200.0,5.65
CHINA AND CANTON,2010-03-10 00:00:00.000,100.0,21.2
CHINA AND CANTON,2010-03-10 00:00:00.000,50.0,20.9
CHINA AND CANTON,2010-03-10 00:00:00.000,100.0,18.5
