"idereg","tiptran","fechfa","codart","nomart","codori","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",VE,2010-08-11 00:00:00.000,HY-255,Banda direcci�n hidra�lica verna/mobis,6,6,3.39,5.6,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-264,Boya tanque gasolina verna 03/mobis,6,4,9.44,15.24,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-268,Motor limpia parabrisas accent verna99-05/mobis,6,6,5.25,12.2,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,DW-002,Filtro aire lanos I-II /03 onnuri,6,2,1.95,4.16,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,DW-032,Filtro aire daewoo cielo mpi onnuri,6,2,1.95,4.16,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,30,23.16,52.05,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,1,24.22,56.99,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-095,Manija puerta interior izq. accent 99 mobis,6,2,1.47,2.5,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-185,Rulim�n rueda delantera verna/alterno,6,2,9.8,13.41,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-207,Pi��n cigue�al verna/mobis,6,2,2.44,5.22,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-283,Flasher relay verna mobis (95550-39000),6,1,4.38,11.3,0.0,0.0,0.0
"1",VE,2010-08-12 00:00:00.000,HY-283,Flasher relay verna mobis (95550-39000),6,1,4.38,11.3,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,20,23.16,52.05,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,40,23.16,52.05,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-021,Amortiguador dela. izq. verna/04 mobis,6,6,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-022,Amortiguador dela. der. verna/04 mobis,6,6,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-023,Amortiguador post. izq. verna/04 mobis,6,4,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-025,Amortiguador post. der. verna/04 mobis,6,4,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-037,Ruliman embrague ver04 acc/ mobis,6,10,12.3,26.11,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-047,Templador red. dist. ver04 acc94-99 mobis,6,6,9.74,26.0,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,10,24.22,56.99,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-059,Terminal direccion verna/04 mobis,6,14,6.27,15.8,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-061,Terminal barra est. der. ver/04 mobis,6,8,6.27,17.95,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,DW-039,Rotor distribuidor matiz mando,6,6,0.99,2.11,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,DW-051,Ret�n cig�e�al post. lanos racer alterno /pos,6,20,1.57,3.33,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,DW-066,Trompo retro daewoo matiz / gm,6,2,3.42,7.3,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,DW-066,Trompo retro daewoo matiz / gm,6,10,3.42,7.3,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,3,24.25,51.65,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,HY-174,V�lvula escape accent 1.5/mobis,6,4,3.35,6.98,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,HY-187,Ret�n cig�e�al dela.atos/alterno pos,6,10,0.88,1.08,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,HY-203,Empaque tapa v�lvula getz verna/mobis,6,100,5.32,8.6,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,HY-236,Base palanca cambio atoz/mobis,6,4,2.72,4.16,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,KI-031,Templador aux. pupo stylus kia rio gmb,6,2,6.62,14.11,0.0,0.0,0.0
"1",VE,2010-07-19 00:00:00.000,KI-043,Cable embrague kia picanto/mobis,6,2,6.97,10.28,0.0,0.0,0.0
"1",VE,2010-08-02 00:00:00.000,DW-039,Rotor distribuidor matiz mando,6,10,0.99,2.11,0.0,0.0,0.0
"1",VE,2010-08-02 00:00:00.000,DW-063,"Manzana rda. dela. racer,cielo,lanos/ x2hub",6,15,8.2,17.5,0.0,0.0,0.0
"1",VE,2010-08-02 00:00:00.000,DW-066,Trompo retro daewoo matiz / gm,6,6,3.42,7.3,0.0,0.0,0.0
"1",VE,2010-08-04 00:00:00.000,HY-229,Actuador velocidad accent/mobis,6,1,131.64,280.83,0.0,0.0,0.0
"1",VE,2010-08-06 00:00:00.000,HY-062,Terminal barra est. der. ver/04 yulim,6,6,2.83,6.02,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,DW-026,Balancines racer cielo lanos /oem,6,40,2.94,6.27,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,DW-030,Swich parqueo lanos gm,6,5,5.03,11.7,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-063,Terminal barra est. izq. ver/04 mobis,6,8,6.27,17.95,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-085,Ruliman rueda dela. verna mobis,6,2,23.43,49.98,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-088,Bomba aceite verna getz dosc 1.6/mobis,6,5,38.54,82.21,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-106,Filtro gasolina gezt mobis,6,5,14.68,27.8,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,4,6.95,16.99,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,20,6.95,16.99,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,2,6.95,16.99,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-109,Base amortiguador dela. accent verna/mobis,6,20,9.92,25.2,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-118,Bocin caja direccion accent alto/ mobis,6,4,2.22,5.9,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-122,Caucho barra estab. dela. verna/mobis,6,15,1.58,2.45,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-122,Caucho barra estab. dela. verna/mobis,6,5,1.58,2.45,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-123,Valvula admision verna mobis,6,32,2.44,6.15,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-123,Valvula admision verna mobis,6,16,2.44,6.15,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-124,Valvula escape verna mobis,6,32,3.03,8.8,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-127,Terminal barra estab. post. verna/mobis,6,6,3.23,6.78,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-127,Enganche barra estab. post. verna/mobis,6,4,3.23,6.78,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-139,Empaque cabezote verna 1.6 dohc/mobis,6,3,10.64,22.4,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-168,Filtro gasolina accent 07/mobis,6,10,10.47,26.0,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-170,Articulaci�n verna 99-05/mobis,6,10,6.0,15.55,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-180,Trompo retro verna/mobis,6,10,3.96,10.5,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-184,Ret�n tapa v�lvula verna/mobis,6,8,1.38,2.99,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-185,Rulim�n rueda delantera verna/alterno,6,4,9.8,13.41,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,20,2.64,6.7,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,10,2.64,6.7,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-197,Sello valvula excel/mobis,6,40,0.5,1.2,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-206,Rines +10 verna 1.5 / npr,6,2,22.98,35.66,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-207,Pi��n cigue�al verna/mobis,6,2,2.44,5.22,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-232,Horquilla embrague new accent verna 06/mobis,6,4,4.12,6.66,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-234,Ret�n semi eje verna/mobis,6,20,1.06,2.64,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-237,Horquilla 1 y 2 accent 1.5 /mobis,6,2,2.67,6.7,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-240,Rotula superior new accent 06/mobis,6,8,8.96,23.02,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-240,Rotula superior new accent 06/mobis,6,10,8.96,23.02,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-278,Buje media luna cremallera verna,6,3,0.72,1.8,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-280,Disco freno verna alterno KGC,6,10,16.42,35.04,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-283,Flasher relay verna mobis (95550-39000),6,6,4.38,11.3,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,HY-290,Reloj veloc�metro verna mobis,6,3,20.52,51.0,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,KI-032,Jgo. cable bujias kia rio/03 mobis,6,4,23.95,38.45,0.0,0.0,0.0
"1",VE,2010-08-16 00:00:00.000,KI-043,Cable embrague kia picanto/mobis,6,4,6.97,10.28,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,AV-080,Cilindro principal embrague lanos/tcic,6,5,9.58,21.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,AV-082,Empaque cabezote aveo metal/onnuri,6,10,11.42,24.9,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,AV-083,Disco freno ventilado aveo/valeo,6,5,15.87,33.9,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-002,Filtro aire lanos I-II /03 onnuri,6,15,1.95,4.16,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-026,Balancines racer cielo lanos /oem,6,20,2.94,6.27,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-036,Pi�on cigue�al peq. daewoo racer gm,6,10,3.22,7.6,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-039,Rotor distribuidor matiz mando,6,10,0.99,2.11,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-040,Sellos valvula cielo racer gm,6,40,0.72,1.68,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-063,"Manzana rda. dela. racer,cielo,lanos/ x2hub",6,10,8.2,17.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-064,Valvula escape lanos / gm,6,20,4.5,10.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,DW-065,V�lvula admisi�n lanos / gm,6,20,3.76,8.03,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-001,Filtro gasolina verna/04 mobis,6,15,4.74,12.25,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-002,Filtro gasolina verna/04 onnuri,6,15,2.56,5.47,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-002,Filtro gasolina verna/04 onnuri,6,30,2.56,5.47,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,2,23.16,52.05,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,40,23.16,52.05,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-021,Amortiguador dela. izq. verna/04 mobis,6,2,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-022,Amortiguador dela. der. verna/04 mobis,6,2,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-023,Amortiguador post. izq. verna/04 mobis,6,2,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-025,Amortiguador post. der. verna/04 mobis,6,2,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-037,Ruliman embrague ver04 acc/ mobis,6,10,12.3,26.11,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-045,Templador banda dist. ver/04 acc94-99 mobis,6,2,9.4,23.6,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-047,Templador red. dist. ver04 acc94-99 mobis,6,6,9.74,26.0,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-047,Templador red. dist. ver04 acc94-99 mobis,6,2,9.74,26.0,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,30,24.22,56.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,6,24.22,56.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-059,Terminal direccion verna/04 mobis,6,12,6.27,15.8,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-061,Terminal barra est. der. ver/04 mobis,6,7,6.27,17.95,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-063,Terminal barra est. izq. ver/04 mobis,6,7,6.27,17.95,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-077,Malla bomba gasolina verna mobis,6,20,1.98,4.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-077,Malla bomba gasolina verna mobis,6,15,1.98,4.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-085,Ruliman rueda dela. verna mobis,6,15,23.43,49.98,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-097,Radiador verna grande mobis,6,1,79.57,186.0,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-102,Reten rueda post. excel/mobis,6,10,0.45,1.05,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-105,Sellos valvula accent verna mobis,6,240,0.39,0.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-105,Sellos valvula accent verna mobis,6,320,0.39,0.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-106,Filtro gasolina gezt mobis,6,30,14.68,27.8,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,10,6.95,16.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-109,Base amortiguador dela. accent verna/mobis,6,30,9.92,25.2,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-109,Base amortiguador dela. accent verna/mobis,6,4,9.92,25.2,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-123,Valvula admision verna mobis,6,80,2.44,6.15,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-124,Valvula escape verna mobis,6,80,3.03,8.8,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-149,Guardapolvo centro verna /mobis,6,4,4.47,9.54,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-170,Articulaci�n verna 99-05/mobis,6,4,6.0,15.55,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-172,Buje peq.mesa suspensi�n verna/mobis,6,4,1.52,4.05,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-174,V�lvula escape accent 1.5/mobis,6,16,3.28,8.1,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-177,V�lvula admisi�n accent 1.5/mobis,6,16,2.4,6.1,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-180,Trompo retro verna/mobis,6,20,3.96,10.5,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-184,Ret�n tapa v�lvula verna/mobis,6,15,1.38,2.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-184,Ret�n tapa v�lvula verna/mobis,6,50,1.38,2.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,4,2.64,6.7,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,50,2.64,6.7,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-203,Empaque tapa v�lvula getz verna/mobis,6,25,5.32,8.6,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-214,Motor electroventilador comp. verna/mobis,6,3,48.28,121.0,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-217,Manguera by pass corta verna/mobis,6,10,1.6,3.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-217,Manguera by pass corta verna/mobis,6,10,1.6,3.99,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-230,"Sensor velocidad isc verna,matrix, rio /mobis",6,8,31.38,66.94,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-232,Horquilla embrague new accent verna 06/mobis,6,15,4.12,6.66,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-234,Ret�n semi eje verna/mobis,6,50,1.06,2.64,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-240,Rotula superior new accent 06/mobis,6,10,8.96,23.02,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-249,Espiral post.verna 99-05/mobis,6,10,13.83,34.2,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-249,Espiral post.verna 99-05/mobis,6,6,13.83,34.2,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-255,Banda direcci�n hidra�lica verna/mobis,6,30,3.39,5.6,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-274,Plato embrague verna 1600/04 mobis,6,2,27.69,59.07,0.0,0.0,0.0
"1",VE,2010-08-17 00:00:00.000,HY-283,Flasher relay verna mobis (95550-39000),6,4,4.38,11.3,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,AV-082,Empaque cabezote aveo metal/onnuri,6,3,11.42,24.9,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,AV-082,Empaque cabezote aveo metal/onnuri,6,2,11.42,24.9,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-036,Pi�on cigue�al peq. daewoo racer gm,6,5,3.22,7.6,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-036,Pi�on cigue�al peq. daewoo racer gm,6,4,3.22,7.6,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-039,Rotor distribuidor matiz mando,6,4,0.99,2.11,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-040,Sellos valvula cielo racer gm,6,16,0.72,1.68,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-062,Contacto swich lanos / gm,6,4,7.0,15.79,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-175,"Trompo retro racer,cielo,espero,lanos/gm",6,6,3.06,7.0,0.0,0.0,0.0
"1",VE,2010-08-18 00:00:00.000,DW-176,Cilindro auxiliar embrague cielo/ valeo,6,10,8.49,20.7,0.0,0.0,0.0
