"Codart","Nomart","Pcosto","Pventa","Exiact","Pricon","Segcon","Difer","Status","Sustiti","Observa","Procesado"
"2101-1108100-2",Cable ahogador,0.62,1.0,0.0,0.0,0.0,0.0,N,"2101-1108100-2",,N
"2101-1108136",Palanca intermedia aceleracion,0.96,1.54,0.0,0.0,0.0,0.0,N,"2101-1108136",,N
"2101-1108200",Jgo. cable bujias italia,4.12,6.59,0.0,0.0,0.0,0.0,N,"2101-1108200",,N
"2101-1109100-02",Filtro aire,2.43,4.46,0.0,0.0,0.0,0.0,N,"2101-1109100-02",,N
"2101-1203020",Empaque tubo escape,0.57,0.97,0.0,0.0,0.0,0.0,N,"2101-1203020",,N
"2101-1203047",Caucho tubo escape dela. (fa),0.72,1.22,0.0,0.0,0.0,0.0,N,"2101-1203047",,N
"2101-1203047M",Caucho tubo escape delantero /meg,0.56,0.9,0.0,0.0,0.0,0.0,N,"2101-1203047M",,N
"2101-1203072",Caucho tubo escape post. (fa),0.64,1.02,0.0,0.0,0.0,0.0,N,"2101-1203072",,N
"2101-1203072M",Caucho tubo escape post. (meg),0.37,0.6,0.0,0.0,0.0,0.0,N,"2101-1203072M",,N
"2101-1302060",Caucho soporte inferior radiador (fa),0.51,1.0,0.0,0.0,0.0,0.0,N,"2101-1302060",,N
"2101-1303014",Toma de agua (fa),9.15,14.13,9.0,9.0,0.0,0.0,C,"2101-1303014","",S
"2101-1303014M",Toma de agua /meg,3.12,5.0,0.0,0.0,0.0,0.0,N,"2101-1303014M",,N
"2101-1306010",Termostato  (fa),15.62,27.5,0.0,0.0,0.0,0.0,N,"210731304010",,N
"2101-1307010",Bomba agua metal,18.66,29.85,0.0,0.0,0.0,0.0,N,"2101-1307010",,N
"2101-1307010M",Bomba agua (meg),15.0,24.0,0.0,0.0,0.0,0.0,N,"2101-1307010M",,N
"2101-1307013",Carbon bomba agua,1.38,2.2,0.0,0.0,0.0,0.0,N,"2101-1307013",,N
"2101-1308020",Correa ventilador,1.51,2.42,0.0,0.0,0.0,0.0,N,"2101-1308020",,N
"2101-1308024",Polea bomba agua,2.75,4.4,0.0,0.0,0.0,0.0,N,"2101-1308024",,N
"2101-1311014",Deposito agua radiador (fa),2.68,4.56,0.0,0.0,0.0,0.0,N,"2101-1311014",,N
"2101-1311065",Tapa deposito agua radiador (fa),0.67,1.07,0.0,0.0,0.0,0.0,N,"2101-1311065",,N
"2101-1601130",Disco embrague (fa),12.19,19.5,0.0,0.0,0.0,0.0,N,"2101-1601130",,N
"2101-1601180",Ruliman embrague completo ,10.18,18.67,36.0,36.0,0.0,0.0,C,"2101-1601180","",S
"2101-1601182-01",Ruliman embrague (fa),6.03,9.65,0.0,0.0,0.0,0.0,N,"2101-1601182-01",,N
"2101-1601182M",Ruliman embrague (meg),5.31,8.5,4.0,3.0,4.0,0.0,C,"2101-1601182M","",S
"2101-1601185",Soporte ruliman embrague,1.82,2.92,0.0,0.0,0.0,0.0,N,"2101-1601185",,N
"2101-1601188",Seguro ruliman embrague,0.17,0.27,122.0,120.0,122.0,0.0,C,"2101-1601188","",S
"2101-1601200",Horquilla embrague (fa),3.68,6.74,1.0,0.0,0.0,0.0,N,"2101-1601200",,N
"2101-1601211",Guardapolvo horquilla embrague (fa),1.08,2.02,0.0,0.0,0.0,0.0,N,"2101-1601211",,N
"2101-1601215",Rotula horquilla embrague (fa),1.8,3.36,0.0,0.0,0.0,0.0,N,"2101-1601215",,N
"2101-1602048",Caucho del pedal (fa),0.34,0.59,0.0,0.0,0.0,0.0,N,"2101-1602048",,N
"2101-1602072",Casquillo pedal freno (fa),0.09,0.15,0.0,0.0,0.0,0.0,N,"2101-1602072",,N
"2101-1602155",Resorte del pedal,0.43,0.6900000000000001,0.0,0.0,0.0,0.0,N,"2101-1602155",,N
"2101-1602510",Cilindro auxiliar embrague (fa),11.97,21.95,124.0,114.0,124.0,0.0,C,"2101-1602510","",S
"2101-1602516",Zapatilla lisas (fa),0.33,0.62,0.0,0.0,0.0,0.0,N,"2101-1602516",,N
"2101-1602520",Baron embrague (fa),1.2,2.2,0.0,0.0,0.0,0.0,N,"2101-1602520",,N
"2101-1602524",Tuerca de regulaci�n,0.39,0.63,0.0,0.0,0.0,0.0,N,"2101-1602524",,N
"2101-1602552",Conector manguera de cilindros (fa),0.16,0.25,0.0,0.0,0.0,0.0,N,"2101-1602552",,N
"2101-1602560-01",Deposito liquido embrague (fa),1.94,2.99,0.0,0.0,0.0,0.0,N,"2101-1602560-01",,N
"2101-1602560-1",Deposito liquido embrague,1.88,3.0,0.0,0.0,0.0,0.0,N,"2101-1602560-1",,N
"2101-1602590",Manguera embrague (fa),5.7,10.64,22.0,22.0,0.0,0.0,C,"2101-1602590","",S
"2101-1602591",Purga,0.31,0.5,0.0,0.0,0.0,0.0,N,"2101-1602591",,N
"2101-1602610",Cilindro principal embrague (fa),17.17,32.06,57.0,57.0,0.0,0.0,C,"2101-1602610","",S
"2101-16202560",Deposito pico lada niva,1.21,1.94,0.0,0.0,0.0,0.0,N,"2101-16202560",,N
"2101-1701026",Eje mando 17 (fa),33.7,54.8,17.0,17.0,0.0,0.0,C,"2101-1701026","",S
"2101-1701031",Ruliman cigue�al (fa),3.93,7.21,0.0,0.0,0.0,0.0,N,"2101-1701031",,N
"2101-1701031M",Ruliman cigue�al /meg,1.87,2.99,0.0,0.0,0.0,0.0,N,"2101-1701031M",,N
"2101-1701033",Ruliman eje motriz grande (fa),7.12,13.3,0.0,0.0,0.0,0.0,N,"2101-1701033",,N
"2101-1701036",Campana c/c (fa),8.24,15.1,0.0,0.0,0.0,0.0,N,"2101-1701036",,N
"2101-1701038",Aro de cierre c/c (fa),0.95,1.52,0.0,0.0,0.0,0.0,N,"2101-1701038",,N
"2101-1701038M",Aro cierre c/c /meg,0.72,1.1500000000000001,0.0,0.0,0.0,0.0,N,"2101-1701038M",,N
"2101-1701042",Sello eje guia,0.14,0.22,192.0,191.0,191.0,0.0,N,"2101-1701042","",S
"2101-1701043",Reten c/c dela. (fa),0.72,1.18,0.0,0.0,0.0,0.0,N,"2101-1701043",,N
"2101-1701068",Ruliman c/c peq. (fa),8.18,14.99,0.0,0.0,0.0,0.0,N,"2101-1701068",,N
"2101-1701073",Ruliman triple post. (fa),10.42,16.33,0.0,0.0,0.0,0.0,N,"2101-1701073",,N
"2101-1701082",Pi�on de retro,4.15,6.640000000000001,0.0,0.0,0.0,0.0,N,"2101-1701082",,N
"2101-1701105",Eje principal c/c 4 velocidades (fa),55.3,97.23,0.0,0.0,0.0,0.0,N,"2101-1701105",,N
"2101-1701108-01",Canastilla caja (fa),0.73,1.35,0.0,0.0,0.0,0.0,N,"2101-1701108-01",,N
"2101-1701112",Pi��n 1ra.velocidad (fa),12.29,19.67,0.0,0.0,0.0,0.0,N,"2101-1701112",,N
"2101-1701113",Casquillo del pi�on,6.14,9.83,6.0,7.0,6.0,0.0,C,"2101-1701113","",S
"2101-1701116",Cubo sincronizador,23.62,43.31,29.0,29.0,0.0,0.0,C,"2101-1701116","",S
"2101-1701119",Masa sincronizada (fa),5.62,9.0,0.0,0.0,0.0,0.0,N,"2101-1701119",,N
"2101-1701119M",Masa Sincronizada (meg),4.69,7.5,0.0,0.0,0.0,0.0,N,,,N
"2101-1701127",Pi�on 2da. velocidad (fa),9.38,15.0,0.0,0.0,0.0,0.0,N,"2101-1701127",,N
"2101-1701127M",Pi�on 2da. velocidad (meg),9.38,15.0,0.0,0.0,0.0,0.0,N,"2101-1701127M",,N
"2101-1701131",Pi�on 3ra. velocidad (fa),16.88,28.69,0.0,0.0,0.0,0.0,N,"2101-1701131",,N
"2101-1701131M",Pi�on 3ra. velocidad (meg),9.38,15.0,0.0,0.0,0.0,0.0,N,"2101-1701131M",,N
"2101-1701138",Pi�on intermedio caja,3.38,5.4,0.0,0.0,0.0,0.0,N,"2101-1701138",,N
"2101-1701164",Sincronizados (fa),6.6,12.32,0.0,0.0,0.0,0.0,N,"2101-1701164",,N
"2101-1701170",Seguro sincronizados (fa),0.54,0.99,22.0,22.0,0.0,0.0,C,"2101-1701170","",S
"2101-1701190",Ruliman eje motriz peq. (fa),5.62,10.31,0.0,0.0,0.0,0.0,N,"2101-1701190",,N
"2101-1701190M",Ruliman eje motriz peq. (meg),0.0,0.0,0.0,0.0,0.0,0.0,N,"2101-1701190M",,N
"2101-1701210",Reten c/c post. (fa),0.76,1.43,0.0,0.0,0.0,0.0,N,"2101-1701210",,N
"2101-1701238",Brida metalica pata gallina (fa),13.44,25.09,0.0,0.0,0.0,0.0,N,"2101-1701238",,N
"2101-1701238M",Brida met�lica pata gallina (meg),8.75,14.0,0.0,0.0,0.0,0.0,N,"2101-1701238M",,N
"2101-1701243",Arandela seguro c/c,0.29,0.47000000000000003,0.0,3.0,3.0,0.0,N,"2101-1701243","",S
"2101-1701244",Tuerca eje principal (fa),1.12,2.06,0.0,0.0,0.0,0.0,N,"2101-1701244",,N
"2101-1702024",Horquilla c/cambio (fa),11.56,17.3,76.0,72.0,72.0,0.0,N,"2101-1702024",da�ada 1,S
"2101-1702050",Horquilla retro,4.81,7.32,0.0,0.0,0.0,0.0,N,"2101-1702050",,N
"2101-1702087",Resorte varilla palanca c/c,0.14,0.22,0.0,0.0,0.0,0.0,N,"2101-1702087",,N
"2101-1702130",Resorte palanca cambio (fa),0.14,0.18,106.0,107.0,107.0,0.0,N,"2101-1702130","",S
"2101-1702179",Tornillo tope,0.14,0.23,0.0,0.0,0.0,0.0,N,"2101-1702179",,N
"2101-1703080",Palanca cambio,13.75,22.0,0.0,0.0,0.0,0.0,N,"2101-1703080",,N
"2101-1703091",Rotula palanca cambio (fa),1.56,2.5,5.0,5.0,0.0,0.0,C,"2101-1703091","",S
"2101-1703092",Acoplamiento palanca c/c (fa),0.59,0.9500000000000001,24.0,24.0,0.0,0.0,C,"2101-1703092","",S
"2101-1703096",Guardapolvo c/c peq.,0.58,0.93,0.0,0.0,0.0,0.0,N,"2101-1703096",,N
"2101-1703101",Guardapolvo c/c grande (fa),1.57,2.5100000000000002,0.0,0.0,0.0,0.0,N,"2101-1703101",,N
"2101-1703106",Antivibrador palanca cambio,0.12,0.36,0.0,43.0,0.0,0.0,N,"2101-1703106","",S
"2101-1703106-J",Jgo. seguro palanca cambio,0.99,1.69,0.0,0.0,0.0,0.0,N,,,N
"2101-1703107",Caucho palanca c/c,0.26,0.43,43.0,0.0,43.0,0.0,C,"2101-1703107","",S
"2101-1703109",Seguro palanca c/c,0.37,0.64,192.0,192.0,0.0,0.0,C,"2101-1703109","",S
"2101-1703111",Buje antivibrador p/cambio,0.14,0.26,204.0,203.0,203.0,0.0,N,"2101-1703111","",S
"2101-2202023",Brida pata de gallo,22.46,35.93,0.0,0.0,0.0,0.0,N,"2101-2202023",,N
"2101-2202025",Cruceta cardan (fa),7.3,12.17,0.0,0.0,0.0,0.0,N,"2101-2202025",,N
"2101-2202080",Soporte cardan (fa),8.62,15.81,2.0,0.0,0.0,0.0,N,"2101-2202080",,N
"2101-2202080-1",Soporte cardan con ruliman /f.a.,13.47,25.14,55.0,60.0,60.0,0.0,N,"2101-2202080-1",da�ada 1,S
"2101-2202120",Brida cardan (fa),8.48,15.54,0.0,0.0,0.0,0.0,N,"2101-2202120",,N
"2101-2401034",Reten eje post. (fa),0.48,0.9,9.0,10.0,10.0,0.0,N,"2101-2401034","",S
"2101-2402020",Cono y corona 10/43,158.28,253.25,0.0,0.0,0.0,0.0,N,"2101-2402020",,N
"2101-2402020M",Cono y corona 10/43 (meg),116.88,187.0,0.0,0.0,0.0,0.0,N,"2101-2402020M",,N
"2101-2402025",Ruliman cono peq. (fa),7.72,14.42,0.0,0.0,0.0,0.0,N,"2101-2402025",,N
"2101-2402025M",Ruliman cono peque�o (meg),5.31,8.5,0.0,0.0,0.0,0.0,N,"2101-2402025M",,N
"2101-2402029-01",Separador del cono (fa),3.45,6.33,0.0,0.0,0.0,0.0,N,"2101-2402029-01",,N
"2101-2402029-01M",Separador del cono (meg),1.75,2.8,0.0,0.0,0.0,0.0,N,"2101-2402029-01M",,N
"2101-2402041",Ruliman cono grande (fa),9.23,17.22,96.0,54.0,96.0,0.0,C,"2101-2402041","",S
"2101-2402041M",Ruliman cono grande / meg,5.56,8.9,0.0,0.0,0.0,0.0,N,"2101-2402041M",,N
"2101-2402052-01",Reten del cono (fa),0.75,1.4,0.0,0.0,0.0,0.0,N,"2101-2402052-01",,N
"2101-2402070",Empaque corona (fa),0.49,0.91,75.0,75.0,0.0,0.0,C,"2101-2402070","",S
"2101-2402075",Arandela del cono,0.23,0.37,0.0,0.0,0.0,0.0,N,"2101-2402075",,N
"2101-2403036",Ruliman lateral corona (fa),6.82,12.74,55.0,55.0,0.0,0.0,C,"2101-2403036","",S
"2101-2403036M",Ruliman lateral corona (meg),4.06,6.5,0.0,0.0,0.0,0.0,N,"2101-2403036M",,N
"2101-2403050",Pi�on planetario,5.87,9.39,0.0,0.0,0.0,0.0,N,"2101-2403050",,N
"2101-2403054",Arandela corona,1.22,1.96,0.0,0.0,0.0,0.0,N,"2101-2403054",,N
"2101-2403055",Pi�on satelite (fa),2.72,4.36,0.0,0.0,0.0,0.0,N,"2101-2403055",,N
"2101-2403060",Eje satelite,2.11,3.37,0.0,0.0,0.0,0.0,N,"2101-2403060",,N
"2101-2403080",Ruliman eje rueda post. (fa),6.6,9.83,91.0,0.0,91.0,0.0,C,"2101-2403080","",S
"2101-2403084",Seguro ruliman eje post. (fa),1.71,2.73,0.0,0.0,0.0,0.0,N,"2101-2403084",,N
"2101-2403084M",Seguro ruliman eje posterior (meg),1.12,1.8,0.0,0.0,0.0,0.0,N,"2101-2403084M",,N
"2101-2902712",Espiral delantero,11.73,18.77,0.0,0.0,0.0,0.0,N,"2101-2902712",,N
"2101-2904020-01",Mesa inferior der.,21.4,33.53,0.0,1.0,1.0,0.0,N,"2101-2904020-01","",S
"2101-2904021-01",Mesa inferior izq. ,21.4,31.86,1.0,2.0,2.0,0.0,N,"2101-2904021-01","",S
"2101-2904032",Eje mesa inferior (fa),7.28,11.64,0.0,0.0,0.0,0.0,N,"2101-2904032",,N
"2101-2904032M",Eje mesa inferior (meg),4.69,7.5,0.0,0.0,0.0,0.0,N,"2101-2904032M",,N
"2101-2904040",Bocin plato inferior (fa),1.22,2.23,0.0,0.0,0.0,0.0,N,"2101-2904040",,N
"2101-2904063",Rotula inferior/original funda vaz,4.88,7.8,0.0,0.0,0.0,0.0,N,"2101-2904063",,N
"2101-2904082",Rotula inferior (fa),5.67,10.4,0.0,0.0,0.0,0.0,N,"2101-2904082",,N
"2101-2904082-2",Rotula inferior amarilla,3.88,6.2,0.0,0.0,0.0,0.0,N,"2101-2904082-03",,N
"2101-2904100",Mesa superior der. ,14.22,26.54,5.0,5.0,0.0,0.0,C,"2101-2904100","",S
"2101-2904101",Mesa superior izq. ,14.22,26.54,22.0,20.0,20.0,0.0,N,"2101-2904101","",S
"2101-2904112",Eje mesa superior (fa),2.53,4.05,0.0,0.0,0.0,0.0,N,"2101-2904112",,N
"2101-2904112M",Eje mesa superior (meg),1.88,3.0,0.0,0.0,0.0,0.0,N,"2101-2904112M",,N
"2101-2904180",Bocin plato superior (fa),1.14,2.09,0.0,0.0,0.0,0.0,N,"2101-2904180",,N
"2101-2904192-01",Rotula superior (fa),5.67,10.4,245.0,251.0,251.0,0.0,N,"2101-2904192-01","",S
"2101-2904192-1",Rotula superior negra,5.56,10.2,0.0,0.0,0.0,0.0,N,"2101-2904192-1",,N
"2101-2904200",Puente suspension,63.95,95.92,41.0,41.0,0.0,0.0,C,"2101-2904200","",S
"2101-2904200M",Puente suspencion /meg,41.88,67.0,0.0,0.0,0.0,0.0,N,"2101-2904200M",,N
"2101-2906040",Caucho barra estabilizadora (fa),0.46,0.87,0.0,0.0,0.0,0.0,N,"2101-2906040",,N
"2101-2906042",Soporte barra estabilizadora gr. (fa),1.78,3.03,0.0,0.0,0.0,0.0,N,"2101-2906042",,N
