"idereg","tiptran","fechfa","codart","nomart","codori","numnot","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",CL,2010-07-30 00:00:00.000,DW-107,Interruptor subir vidrio boton daewoo/gm,6,90.0,200,1.96,34.11,0.0,0.0,3.0
"1",CL,2010-07-30 00:00:00.000,DW-107,Interruptor subir vidrio boton daewoo/gm,6,90.0,20,10.66,34.11,0.0,0.0,3.0
"1",CL,2010-07-30 00:00:00.000,DW-121,"Cilindro maestro embrague racer, cielo/tcic",6,90.0,80,6.79,21.73,0.0,0.0,0.0
"1",CL,2010-07-30 00:00:00.000,DW-175,"Trompo retro racer,cielo,espero,lanos/gm",6,90.0,140,2.04,6.53,0.0,0.0,60.0
"1",CL,2010-07-30 00:00:00.000,DW-176,Cilindro auxiliar embrague cielo/ valeo,6,90.0,50,5.66,18.11,0.0,0.0,31.0
"1",CL,2010-07-30 00:00:00.000,HY-001,Filtro gasolina verna/04 mobis,6,90.0,90,3.16,10.11,0.0,0.0,29.0
"1",CL,2010-07-30 00:00:00.000,HY-002,Filtro gasolina verna/04 onnuri,6,90.0,300,1.71,5.47,0.0,0.0,129.0
"1",CL,2010-07-30 00:00:00.000,HY-004,Filtro aire verna/04 atoz/03 onnuri,6,90.0,100,1.3,4.16,0.0,0.0,35.0
"1",CL,2010-07-30 00:00:00.000,HY-019,Banda dist. 105 dtes. vrn/04 acc94-99 mobis,6,90.0,500,15.44,49.41,0.0,0.0,210.0
"1",CL,2010-07-30 00:00:00.000,HY-045,Templador banda dist. ver/04 acc94-99 mobis,6,90.0,400,6.27,20.06,0.0,0.0,166.0
"1",CL,2010-07-30 00:00:00.000,HY-047,Templador red. dist. ver04 acc94-99 mobis,6,90.0,728,6.49,20.77,0.0,0.0,150.0
"1",CL,2010-07-30 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,90.0,500,16.14,51.65,0.0,0.0,119.0
"1",CL,2010-07-30 00:00:00.000,HY-057,Elevador valvula acc 94-99 ver/04 mobis,6,90.0,500,2.18,6.98,0.0,0.0,48.0
"1",CL,2010-07-30 00:00:00.000,HY-059,Terminal direccion verna/04 mobis,6,90.0,390,4.18,13.38,0.0,0.0,282.0
"1",CL,2010-07-30 00:00:00.000,HY-061,Terminal barra est. der. ver/04 mobis,6,90.0,150,4.18,13.38,0.0,0.0,29.0
"1",CL,2010-07-30 00:00:00.000,HY-063,Terminal barra est. izq. ver/04 mobis,6,90.0,150,4.18,13.38,0.0,0.0,35.0
"1",CL,2010-07-30 00:00:00.000,HY-066,Radiador verna 04 peq./ hcc,6,90.0,26,22.77,72.86,0.0,0.0,1.0
"1",CL,2010-07-30 00:00:00.000,HY-077,Malla bomba gasolina verna mobis,6,90.0,250,1.32,4.22,0.0,0.0,155.0
"1",CL,2010-07-30 00:00:00.000,HY-085,Ruliman rueda dela. verna mobis,6,90.0,300,15.62,49.98,0.0,0.0,123.0
"1",CL,2010-07-30 00:00:00.000,HY-097,Radiador verna grande mobis,6,90.0,10,52.97,169.5,0.0,0.0,11.0
"1",CL,2010-07-30 00:00:00.000,HY-102,Reten rueda post. excel/mobis,6,90.0,60,0.3,0.96,0.0,0.0,75.0
"1",CL,2010-07-30 00:00:00.000,HY-105,Sellos valvula accent verna mobis,6,90.0,2500,0.26,0.83,0.0,0.0,2428.0
"1",CL,2010-07-30 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,90.0,540,4.63,14.82,0.0,0.0,144.0
"1",CL,2010-07-30 00:00:00.000,HY-109,Base amortiguador dela. accent verna/mobis,6,90.0,200,6.61,21.15,0.0,0.0,200.0
"1",CL,2010-07-30 00:00:00.000,HY-110,Buje mesa dela. izq. caucho accent 95/99/onnuri,6,90.0,50,1.25,4.0,0.0,0.0,10.0
"1",CL,2010-07-30 00:00:00.000,HY-118,Bocin caja direccion accent alto/ mobis,6,90.0,50,1.48,4.74,0.0,0.0,44.0
"1",CL,2010-07-30 00:00:00.000,HY-123,Valvula admision verna mobis,6,90.0,500,1.63,5.22,0.0,0.0,472.0
"1",CL,2010-07-30 00:00:00.000,HY-124,Valvula escape verna mobis,6,90.0,350,2.02,6.46,0.0,0.0,352.0
"1",CL,2010-07-30 00:00:00.000,HY-125,Tuerca rueda 1. 50 mm verna mobis,6,90.0,240,0.43,1.38,0.0,0.0,220.0
"1",CL,2010-07-30 00:00:00.000,HY-161,Ducto refrigerante corto atos/mobis,6,90.0,40,3.07,9.82,0.0,0.0,40.0
"1",CL,2010-07-30 00:00:00.000,HY-165,Empaque cabezote verna accent 1.5 Doch/mobis,6,90.0,40,7.0,22.4,0.0,0.0,9.0
"1",CL,2010-07-30 00:00:00.000,HY-167,Trompo retro atos/mobis,6,90.0,150,2.41,7.71,0.0,0.0,40.0
"1",CL,2010-07-30 00:00:00.000,HY-168,Filtro gasolina accent 07/mobis,6,90.0,23,6.98,23.6,0.0,0.0,23.0
"1",CL,2010-07-30 00:00:00.000,HY-170,Articulaci�n verna 99-05/mobis,6,90.0,250,4.0,12.8,0.0,0.0,132.0
"1",CL,2010-07-30 00:00:00.000,HY-172,Buje peq.mesa suspensi�n verna/mobis,6,90.0,600,1.01,3.23,0.0,0.0,99.0
"1",CL,2010-07-30 00:00:00.000,HY-174,V�lvula escape accent 1.5/mobis,6,90.0,200,2.18,6.98,0.0,0.0,40.0
"1",CL,2010-07-30 00:00:00.000,HY-177,V�lvula admisi�n accent 1.5/mobis,6,90.0,300,1.6,5.12,0.0,0.0,64.0
"1",CL,2010-07-30 00:00:00.000,HY-180,Trompo retro verna/mobis,6,90.0,550,2.64,8.45,0.0,0.0,171.0
"1",CL,2010-07-30 00:00:00.000,HY-184,Ret�n tapa v�lvula verna/mobis,6,90.0,250,0.86,2.75,0.0,0.0,250.0
"1",CL,2010-07-30 00:00:00.000,HY-184,Ret�n tapa v�lvula verna/mobis,6,90.0,20,1.71,5.42,0.0,0.0,250.0
"1",CL,2010-07-30 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,90.0,600,1.76,5.63,0.0,0.0,293.0
"1",CL,2010-07-30 00:00:00.000,HY-197,Sello valvula excel/mobis,6,90.0,400,0.33,1.06,0.0,0.0,358.0
"1",CL,2010-07-30 00:00:00.000,HY-214,Motor electroventilador comp. verna/mobis,6,90.0,25,32.19,103.01,0.0,0.0,5.0
"1",CL,2010-07-30 00:00:00.000,HY-216,Manguera radiador superior verna/mobis,6,90.0,13,2.15,6.88,0.0,0.0,15.0
"1",CL,2010-07-30 00:00:00.000,HY-217,Manguera by pass corta verna/mobis,6,90.0,100,1.07,3.42,0.0,0.0,102.0
"1",CL,2010-07-30 00:00:00.000,HY-234,Ret�n semi eje verna/mobis,6,90.0,250,0.71,2.27,0.0,0.0,250.0
"1",CL,2010-07-30 00:00:00.000,HY-235,Sincronizados 1 y 2 verna getz/mobis,6,90.0,1,8.48,27.14,0.0,0.0,1.0
"1",CL,2010-07-30 00:00:00.000,HY-237,Horquilla 1 y 2 accent 1.5 /mobis,6,90.0,20,1.78,5.7,0.0,0.0,17.0
"1",CL,2010-07-30 00:00:00.000,HY-240,Rotula superior new accent 06/mobis,6,90.0,100,5.97,19.1,0.0,0.0,90.0
"1",CL,2010-07-30 00:00:00.000,HY-247,Espiral post. accent 94-97 /mobis,6,90.0,14,6.18,19.78,0.0,0.0,4.0
"1",CL,2010-07-30 00:00:00.000,HY-249,Espiral post.verna 99-05/mobis,6,90.0,150,9.22,29.5,0.0,0.0,78.0
"1",CL,2010-07-30 00:00:00.000,HY-250,Tope amortiguador post. atoz /mobis,6,90.0,50,0.95,3.04,0.0,0.0,32.0
"1",CL,2010-07-30 00:00:00.000,HY-254,Enganche barra estab. post. verna/yulim,6,90.0,150,1.63,5.22,0.0,0.0,42.0
"1",CL,2010-07-30 00:00:00.000,HY-255,Banda direcci�n hidra�lica verna/mobis,6,90.0,136,1.53,4.9,0.0,0.0,136.0
"1",CL,2010-07-30 00:00:00.000,HY-255,Banda direcci�n hidra�lica verna/mobis,6,90.0,30,5.57,17.82,0.0,0.0,136.0
"1",CL,2010-07-30 00:00:00.000,HY-260,Reparaci�n cilindro maestro freno verna99-05/mobis,6,90.0,100,3.68,11.78,0.0,0.0,59.0
"1",CL,2010-07-30 00:00:00.000,HY-268,Motor limpia parabrisas accent verna99-05/mobis,6,90.0,150,3.5,11.2,0.0,0.0,33.0
"1",CL,2010-07-30 00:00:00.000,HY-274,Plato embrague verna 1600/04 mobis,6,90.0,40,18.46,59.07,0.0,0.0,9.0
"1",CL,2010-07-30 00:00:00.000,HY-278,Buje media luna cremallera verna,6,90.0,8,0.48,1.54,0.0,0.0,8.0
"1",CL,2010-07-30 00:00:00.000,HY-282,Filtro gasolina matriz mobis,6,90.0,150,8.01,25.63,0.0,0.0,0.0
"1",CL,2010-07-30 00:00:00.000,HY-283,Flasher relay verna mobis (95550-39000),6,90.0,100,2.92,9.34,0.0,0.0,42.0
"1",CL,2010-07-30 00:00:00.000,HY-289,Radiador Getz 1600 alterno,6,90.0,15,31.84,101.89,0.0,0.0,15.0
"1",CL,2010-07-30 00:00:00.000,HY-290,Reloj veloc�metro verna mobis,6,90.0,49,13.68,43.78,0.0,0.0,9.0
"1",CL,2010-07-30 00:00:00.000,HY-291,Ret�n cigue�al dela. verna,6,90.0,150,1.61,5.15,0.0,0.0,50.0
"1",CL,2010-07-30 00:00:00.000,HY-304,Empaque cabezote verna 1.5 asbesti/autox,6,90.0,100,1.85,5.92,0.0,0.0,96.0
"1",CL,2010-07-30 00:00:00.000,KI-051,Caucho barra templadora kia rio /mobis,6,90.0,15,1.78,5.7,0.0,0.0,15.0
"1",CL,2010-07-30 00:00:00.000,KI-060,Filtro gasolina kia rio onnuri,6,90.0,100,1.85,5.92,0.0,0.0,39.0
