"codveh","nomvh","Status","CODMAR"
NS04,Jeep Terrano Pathfinder,A,NS
NV01,NIVA 2121,A,NV
NV02,NIVA 21212,A,NV
NV03,NIVA 21213,A,NV
NV04,NIVA 21214,A,NV
NV05,NIVA TODOS LOS MODELOS,A,NV
NV06,NIVA TODOS,A,NV
PG01,"306",A,PG
RN1,Clio 1.4,A,RN
SB01,LEONE,A,SB
SB02,TODOS LOS MODELOS,A,SB
SK01,CAMIONETA,A,SK
SK02,CAMIONETA 95,A,SK
SK03,CAMIONETA 98,A,SK
SK04,FABIA,A,SK
SK05,FABIA 1.2,A,SK
SK06,FABIA 1.2 BANDA,A,SK
SK07,FABIA 1.2 CADENA,A,SK
SK08,FABIA 1.4 16V,A,SK
SK09,FABIA 1.4 16VALV,A,SK
SK10,FABIA 1.4 A/C,A,SK
SK11,FABIA DIESEL,A,SK
SK12,FAVORIT,A,SK
SK13,FELICIA,A,SK
SK14,FELICIA 1.6,A,SK
SK15,FELICIA 94-97,A,SK
SK16,FELICIA 94-98,A,SK
SK17,FELICIA 95-97,A,SK
SK18,FELICIA 95-98,A,SK
SK19,FELICIA 96,A,SK
SK20,FELICIA 97,A,SK
SK21,FELICIA 97-98,A,SK
SK22,FELICIA 98,A,SK
SK23,FELICIA 98-2002,A,SK
SK24,FORMAN,A,SK
SK25,FORMAN 95,A,SK
SK26,OCTAVIA,A,SK
SK27,OCTAVIA 1.6,A,SK
SK28,OCTAVIA 1.8,A,SK
SK29,OCTAVIA 1.9 DIESEL,A,SK
SK30,OCTAVIA 2.0,A,SK
SK31,OCTAVIA 2001-2005,A,SK
SK32,TODOS LOS MODELOS,A,SK
SM01,SAMARA 1300,A,SM
SM02,SAMARA 2108,A,SM
SM03,SAMARA 2109,A,SM
SM04,TODOS LOS MODELOS,A,SM
SM05,BANDASM,A,SM
TY01,CELICA,A,TY
TY02,COROLLA,A,TY
TY03,CORONA,A,TY
TY04,TERCEL,A,TY
TY05,TODOS LOS MODELOS,A,TY
TY06,Camry 4cil 92/5,A,TY
TY07,Camry version usa,A,TY
TY08,Yaris 1.3 16v abs,A,TY
VW-09,Jetta 84/90,A,VW
VW01,GOL,A,VW
VW02,GOLF,A,VW
VW03,JETTA,A,VW
VW04,VENTO,A,VW
VW05,TODOS LOS MODELOS,A,VW
VW06,POLO,A,VW
VW07,GOLF 4 DESDE 2000,A,VW
VW08,Golf/GTY,A,VW
